imie,nazwisko,płeć,wiek,waga(kg),wzorst (cm)
Avery,Kleinlerer,0,10,87.76,159.18
Tatiania,Stainburn,0,40,77.23,145.67
Jameson,Slide,0,67,122.99,168.08
Leonid,Iorizzo,0,73,72.8,135.02
Katine,Doogue,0,36,78.94,159.55
Carree,Loveland,0,14,126.11,125.47
Dimitry,McCourtie,1,23,67.37,178.26
Wolfie,Organ,0,26,106.0,157.71
Renie,Schirach,1,56,111.37,146.38
Evin,Jerrom,0,76,114.25,128.19
Shay,Hildred,0,51,60.99,160.58
Nicolis,Coton,0,38,59.36,167.05
Harmonie,Merrien,0,23,65.76,149.5
Timothee,Southerton,0,52,74.57,166.42
Jelene,Assante,1,23,99.67,181.86
Ellette,Mutlow,1,80,69.07,141.14
Della,Dallaway,1,55,73.25,166.51
Lola,Hallworth,1,15,81.36,199.37
Albertine,Siemons,0,85,67.17,186.18
Audry,Leel,0,14,55.34,136.11
Kerri,Belly,0,77,113.54,164.57
Vera,Cometto,0,19,73.3,189.87
Rosabella,Juleff,1,41,79.55,141.65
Alanson,Matieu,1,40,112.33,128.04
Miran,Fredy,1,43,103.17,168.71
Lynett,Solesbury,1,71,121.07,121.86
Julie,Franzettoini,1,54,129.23,165.85
Edd,Van T'Hoog,0,72,80.67,125.78
Erek,Beningfield,0,78,72.86,181.24
Bab,Jugging,1,26,86.72,184.0
Arnie,Ventum,1,34,94.7,131.36
Evin,Offer,0,67,53.1,129.63
Anna-maria,Collie,0,45,78.67,141.96
Leigh,Daverin,0,30,101.23,191.86
Terrell,Edwicke,1,39,77.27,168.94
Jocelin,Chapelhow,1,75,64.72,123.64
Lennard,Doggett,1,85,113.68,133.3
Ivett,McPhelimy,0,32,104.21,178.08
Arch,Orrah,0,13,55.19,190.27
Rodolfo,Shakesby,1,74,78.2,166.04
Reeta,Digman,1,26,118.34,150.54
Vasily,Nussey,0,27,80.81,130.02
Bren,MacGahey,1,53,51.94,137.33
Mandy,Shallcross,0,39,123.78,183.39
Owen,Mirams,1,34,93.61,196.69
Margalo,Melly,1,41,89.72,194.07
Vivia,McElmurray,0,15,91.16,157.87
Deborah,Robison,0,30,114.26,132.52
Dorian,Johl,0,26,121.87,168.01
Cosimo,Leschelle,0,54,99.0,146.88
Merridie,Mailes,0,36,61.51,183.05
Stephi,Tregent,1,76,85.51,177.59
Ardith,Samsonsen,1,51,116.86,192.15
Kain,Lehmann,0,31,100.53,165.25
Moselle,Gilhool,1,46,66.15,152.13
Lorelle,Willshear,1,66,101.9,176.51
Cam,Rolingson,0,47,126.96,160.06
Bernie,Vernay,0,11,121.34,162.37
Eli,Cornwall,1,69,53.87,160.93
Gilberto,Greest,1,61,85.27,183.8
Denis,Koch,1,31,94.31,125.26
Netta,Garvie,0,58,61.2,151.55
Darnell,Allmen,0,21,96.04,131.54
Sigismundo,Droghan,1,22,103.31,175.99
Belvia,Ertelt,1,50,86.81,171.04
Coralie,Drohun,0,23,90.32,136.08
Jedidiah,Cranch,0,34,94.9,133.96
Cristobal,Mounsie,1,14,124.91,132.07
Hamid,Wattam,0,45,122.12,183.8
Rollie,Eglinton,1,44,72.46,141.08
Wilton,O'Hogertie,1,68,68.07,191.46
Roselle,Handyside,1,73,77.72,145.63
Gerry,Rollin,0,15,129.88,189.42
Trevor,Elington,1,63,76.1,192.85
Anabelle,Maycey,1,18,114.44,146.63
Hanan,Winchester,0,64,83.1,155.42
Ruthi,Kment,0,74,108.6,135.6
Jayne,Gold,0,66,61.3,140.77
Ammamaria,Boig,0,25,91.64,158.35
Chicky,Grimolbie,1,38,81.2,136.37
Ikey,Espinosa,1,68,79.03,195.45
Godiva,Naylor,0,21,125.14,145.1
Durant,Rumens,1,38,59.33,148.85
Benedicta,Neasham,0,48,77.59,157.39
Karie,Tennock,1,33,60.23,177.99
Kendre,Maleck,0,22,127.02,134.04
Ricki,Kenwyn,0,38,75.64,147.7
Livvie,Gavrielly,1,42,79.51,178.92
Jarvis,Muckeen,1,82,96.06,184.2
Vinita,Saphin,1,12,81.58,121.03
Katinka,Renn,1,68,125.77,152.0
Gretel,Dyshart,0,27,92.81,148.34
Amalie,De Biasio,0,77,73.35,140.48
Cody,Buckleigh,0,53,87.87,194.84
Whittaker,Jeannard,1,83,80.02,183.4
Julina,Krollman,0,33,54.12,154.96
Electra,Trenbay,1,74,121.86,156.63
Vicky,Cheal,0,66,114.82,121.83
Nikola,Yitzovitz,1,48,91.18,123.2
Manfred,Fernihough,0,70,109.08,182.97
Royal,Pyser,1,20,79.16,178.76
Cheryl,Barbara,1,57,79.91,138.14
Corena,Ladyman,0,27,83.46,126.8
Glenden,Forgie,0,19,76.72,173.47
Mason,Coatts,1,42,112.68,129.3
Giorgia,Grenfell,0,73,82.12,151.08
Carolee,Pioch,0,33,118.62,162.43
Shepard,Brushfield,0,49,125.26,148.16
Jaclyn,Glenny,1,17,127.57,132.5
Reagan,Mulvy,0,23,110.41,199.25
Demetris,Poundford,1,51,108.75,181.65
Jonis,Hadenton,0,55,94.73,178.45
Eugen,Breen,1,45,113.75,180.1
Buddy,Gecke,0,82,72.81,186.36
Filide,Laite,1,64,81.0,145.1
Alley,Bromell,0,59,121.38,121.36
Bear,Richmont,1,69,57.9,173.28
Lawrence,Hallwell,0,76,58.97,194.04
Lisabeth,Bilborough,1,80,108.73,166.91
Patrick,Mennear,0,35,116.14,189.68
Guss,Gash,1,62,113.82,145.3
Ada,Giff,1,84,86.69,177.99
Dukey,Slyde,0,64,55.26,140.14
Laurene,Attwooll,0,80,85.96,176.08
Whitney,Jenoure,1,82,61.93,185.88
Jamie,Wynrahame,0,36,116.58,136.52
Felecia,Hordle,1,38,83.3,173.2
Corrie,O'Doohaine,0,38,107.88,188.66
Archaimbaud,Arenson,0,48,71.76,160.52
Ravi,Puckinghorne,1,38,50.09,120.36
Raddy,Carek,1,56,90.51,143.58
Jefferson,Samuel,1,43,78.01,169.4
Greta,Tant,1,30,94.8,173.45
Raymond,Caustick,0,56,71.03,155.01
Darline,Brumfitt,0,77,57.54,167.53
Loutitia,Negus,1,60,61.04,142.99
Rahal,Duckett,1,36,74.39,194.01
Salomone,Tampling,0,84,121.77,170.49
Eldon,Olliver,1,58,60.12,195.42
Winni,Keuntje,1,63,53.21,195.67
Evanne,Baden,0,33,92.82,191.21
Becca,Girodias,1,69,122.16,131.56
Thedric,Jentgens,1,83,80.97,177.42
Shara,Whopples,1,71,117.07,169.51
Shana,Etienne,0,32,63.45,198.5
Therine,Carabet,0,34,74.22,198.66
Sonja,Thing,1,74,121.0,181.37
Dylan,O'Shirine,0,85,103.68,194.9
Rosalinde,Malamore,0,51,115.5,181.68
Ailbert,Weild,1,36,82.8,147.58
Analiese,Kibbel,0,23,113.66,149.26
Ethelind,Lodden,1,65,70.07,169.61
Junia,Ingerfield,1,76,114.76,185.57
Lorene,Dovey,0,54,114.82,190.78
Revkah,Mereweather,1,32,86.19,136.59
Milty,Sorensen,1,83,105.07,148.87
Vlad,Hambridge,1,48,51.81,194.06
Celestia,Pavek,1,73,115.87,177.98
Godart,Astling,0,22,125.87,120.52
Dorie,Lowre,1,21,107.04,197.07
Tobit,Perroni,0,41,98.97,163.51
Clark,Hawson,0,42,115.69,131.32
Filberto,Swateridge,1,11,60.38,173.04
Ulrich,Ginner,1,58,84.79,129.72
Renata,Bowshire,1,34,76.48,148.9
Alfy,Midford,0,10,76.4,153.65
Ettore,Byatt,0,51,125.14,139.77
Lemmie,Littlefair,1,61,54.76,143.03
Claudius,Reuven,0,43,69.21,183.69
Godfree,Goford,1,75,80.95,177.89
Beauregard,Kirtland,0,12,121.19,195.27
Jarred,Mochar,0,77,61.67,147.22
Colan,Kohrsen,0,77,127.55,154.65
Sterne,Slayton,1,25,98.92,190.02
Milo,Valentine,0,15,101.73,177.62
Miltie,Hofton,1,76,59.72,123.47
Moina,Shufflebotham,1,51,82.3,163.14
Barret,Darinton,0,32,63.86,120.52
Cordi,Niven,1,55,119.8,167.35
Helga,Bygott,1,77,55.39,195.27
Pavlov,Hebblewaite,0,14,65.59,173.75
Ash,Swinford,0,22,58.8,191.08
Mamie,Paff,0,20,120.88,148.3
Ola,Veronique,0,57,59.18,125.85
Vonni,Van der Velden,0,26,128.32,163.41
Orville,Hritzko,1,48,112.22,183.07
Sallee,Seleway,1,11,66.3,146.79
La verne,Luchetti,1,56,125.79,175.22
Aleen,Sayse,0,47,92.75,132.15
Timothea,Losseljong,0,60,59.11,176.05
Farleigh,Pennycook,0,59,88.36,128.21
Gardy,Barrabeale,0,19,120.08,174.83
Adriana,Philippeaux,0,24,78.16,159.49
Johna,McEachern,0,78,121.99,172.53
Brett,Simonato,0,68,92.46,193.31
Levi,Sibylla,1,40,96.56,132.92
Layney,Tassell,0,24,100.29,142.64
Mira,Kinzel,1,46,114.02,156.8
Will,Jotcham,0,25,121.52,126.33
Jorey,Bolderson,0,59,67.99,154.04
Maire,Massimi,0,31,68.83,122.86
Kerrie,Dumberrill,1,30,107.32,120.46
Mavra,Float,1,14,109.58,195.82
Marwin,Bienvenu,1,14,96.14,159.94
Olly,Kenforth,0,30,65.67,169.2
Mariette,Itzkovwitch,0,57,63.84,143.85
Brannon,Dawks,0,16,83.24,130.48
Clareta,Longhirst,0,72,123.16,196.15
Pren,Bony,1,41,73.56,143.66
Estella,Tonner,1,61,106.09,157.05
Lyell,Chanter,1,50,85.27,151.73
Putnem,Bacon,0,11,75.43,164.32
Lewie,Khadir,0,68,123.84,138.8
Fidelity,Kirgan,0,78,122.81,165.49
Lamont,Ionnidis,1,73,92.38,123.3
Foster,Dibley,1,78,53.6,159.6
Westbrook,Korpal,0,58,52.06,133.01
Sheilakathryn,Katzmann,1,70,89.01,138.21
Jake,Glennard,0,55,57.74,193.08
Leopold,Gooderham,1,14,61.76,128.27
Editha,Euplate,1,79,127.11,185.25
Alethea,Lambkin,1,15,119.5,125.36
Perri,Bison,0,28,119.99,196.14
Nate,Meo,1,21,80.16,128.44
Gusty,Ronchetti,1,15,114.67,164.92
Margo,Fawks,0,49,82.62,168.54
Granger,Estrella,0,34,97.16,155.57
Sholom,Tune,0,66,78.63,123.63
Mureil,Caverhill,0,23,72.27,152.01
Bart,Stelfox,1,50,112.9,198.71
Buddy,Tubritt,0,84,67.35,163.66
Kerk,Clewlowe,1,33,77.45,169.36
Clarine,Fisk,0,27,114.94,153.2
Mimi,Shewan,1,63,53.19,131.4
Debee,McKeand,1,76,55.47,192.36
Mitch,Billinge,1,43,113.01,140.62
Vin,Eddolls,1,61,87.42,156.07
Viole,Steele,0,66,115.83,157.38
Gibbie,Bellard,1,13,111.13,174.47
Paddie,Como,1,11,59.54,144.67
Tobias,Le Noire,1,59,61.5,184.21
Pris,Garroch,1,73,122.95,155.35
Darrell,Panons,1,18,62.78,144.37
Niles,Greasley,1,81,99.25,183.97
Seamus,Gummie,0,11,88.15,175.18
Penrod,Lambertini,0,75,98.38,183.36
Carmen,Bodesson,1,26,129.3,120.3
Lanny,Bourdice,1,10,80.91,157.16
Belicia,Gaytor,1,71,79.86,187.09
Esmeralda,Meric,0,29,107.21,142.91
Xaviera,Lauridsen,0,41,111.98,147.48
Tibold,Happer,1,23,55.73,164.63
Trace,Haughey,1,65,116.37,166.04
Gwynne,Olliffe,1,41,95.38,157.55
Barr,Gelling,0,67,69.48,181.75
Lorne,Marquiss,1,63,129.43,152.49
Carlynn,Halm,0,47,125.53,148.55
Conn,Fonquernie,1,46,85.68,142.41
Rozanna,Butner,1,11,95.99,166.76
Sabra,Smedmore,1,40,129.17,134.8
Yorke,Fisbey,1,57,95.4,142.6
Alford,De Minico,1,37,106.01,127.39
Karole,Steen,1,19,50.16,135.15
Agna,Graham,0,78,88.07,152.47
Charleen,Beany,0,54,75.91,157.75
Anna-diana,Crush,0,62,56.06,174.67
Lurline,Kennedy,1,72,97.38,186.98
Tandie,Wenger,1,66,123.27,144.01
Jaine,Siege,1,55,128.52,141.77
Lois,Sarjent,0,52,117.37,175.51
Aeriel,Stowte,0,24,117.49,130.92
Orel,Van der Krui,1,33,55.87,158.1
Lissy,Kibbey,0,62,112.81,177.95
Jarrod,Billin,0,57,120.12,139.03
Lannie,Govini,0,69,79.3,154.44
Frazer,Orviss,1,82,51.32,151.74
Betty,Cardozo,1,75,120.56,177.54
Maje,Quarlis,0,71,96.78,156.03
Jaymie,Zecchinii,1,36,55.99,151.97
Merci,Dawnay,1,67,69.77,155.69
Chevy,Montier,0,55,54.86,121.59
Ronnie,Goodyer,0,24,111.53,138.17
Clyve,Matthewman,0,44,77.86,184.13
Townie,Winny,1,14,72.82,164.07
Will,McGlynn,0,55,91.95,152.6
Emerson,Skym,0,47,128.68,168.2
Haleigh,Mehmet,0,33,80.32,190.02
Redd,Camillo,1,83,70.32,194.77
Othelia,Hickinbottom,1,74,51.5,155.02
Josiah,Smouten,0,60,65.64,142.5
Maryellen,Plues,0,59,109.67,192.2
Eddi,Reader,0,10,115.46,179.05
Umberto,Deport,1,77,57.64,190.76
Mordy,Cavell,1,52,72.67,180.42
Alayne,Bryce,1,27,121.0,140.81
Earvin,Barles,0,24,110.43,127.62
Mercy,Grealy,0,38,116.08,128.91
Kevyn,Moody,1,62,103.29,151.51
Birch,Metcalfe,1,63,83.85,166.55
Michel,Bartzen,0,12,120.42,167.38
Kimball,Murby,0,11,121.34,152.05
Willard,Rainey,0,42,89.94,135.27
Maurene,Goricke,1,48,107.02,149.5
Rossie,Bouch,1,10,125.2,163.4
Deonne,Mullard,1,67,129.06,195.67
Lindon,Colpus,1,44,69.61,124.08
Derry,Dalmon,0,57,115.14,181.33
Dania,Jorioz,1,36,88.73,127.36
Lauren,Kamien,0,85,77.81,196.37
Maressa,Weatherhill,0,23,109.85,157.52
Velvet,Ingliss,0,25,67.58,142.6
Chariot,Gilham,1,55,109.68,189.17
Ronnica,Bonavia,1,81,127.48,183.82
Shae,Livesay,0,85,99.48,139.69
Ermengarde,Cushe,1,25,95.63,127.31
Ewen,McMichell,1,21,92.12,142.0
Nydia,Bruford,1,61,71.77,131.09
Gerrard,Hamer,0,13,58.26,145.67
Park,Reglar,0,65,111.1,182.01
Galvan,Niese,1,79,56.07,128.22
Dara,MacFadin,0,20,128.66,135.05
Emyle,Talton,1,58,87.71,140.3
Hardy,Haime,0,80,101.47,193.98
Tiffany,Castellan,1,38,108.45,142.61
Pascal,Lamberton,1,37,98.39,130.15
Ariel,Burstow,1,73,101.91,142.75
Reuben,Tolossi,1,42,121.6,151.75
Reggi,Jiricka,1,73,83.12,127.81
Allina,Simmonds,1,44,118.97,128.27
Magda,Feary,1,70,60.82,191.7
Teriann,Boult,0,14,122.65,132.58
Dougy,Bealing,0,42,112.67,198.74
Sherlocke,O'Breen,0,82,97.16,177.64
Inna,Hoodspeth,1,72,87.24,166.96
Harrison,Swalteridge,0,74,80.8,171.74
Lynda,Czapla,0,56,53.87,151.42
Alexandrina,Rudkin,0,80,80.38,149.99
Jeanna,Picopp,1,23,107.81,138.54
Dudley,Guihen,0,53,126.13,147.27
Codi,Burree,0,38,111.88,167.47
Jaime,Braime,0,13,52.15,193.09
Leona,Danilov,0,82,110.48,163.36
Chiarra,Dufton,0,38,81.35,141.4
Alana,Gallgher,0,80,68.37,171.15
Meridel,Dyche,1,68,109.11,168.26
Debra,Hubbard,0,35,83.68,138.57
Wake,Stebles,0,15,129.6,129.33
Lonee,Scandrett,0,48,59.6,194.59
Jacintha,Clive,1,85,117.14,130.46
Pincus,Burchnall,1,82,58.65,167.21
Marylee,Clynmans,1,49,78.26,175.7
Diane-marie,Marfell,1,38,64.31,135.01
Ervin,Pasmore,1,73,96.9,150.57
Roselle,Ashford,1,19,97.76,144.24
Torie,Ramsden,1,36,121.34,195.87
Adi,Goulborn,1,76,64.56,175.38
Bonita,Simes,0,32,106.1,190.95
Jennica,Fernely,1,78,112.78,158.7
Birdie,Morgans,0,43,62.02,196.45
Derron,Stein,0,69,117.33,123.65
Sherlocke,Clint,1,66,102.17,158.26
Willard,Larrett,0,24,110.17,179.03
Kayle,Rolingson,1,61,53.07,159.02
Bailey,Maureen,1,46,56.94,127.81
Tim,Davitashvili,0,64,91.14,141.37
Elisabetta,Laird,1,71,107.09,158.45
Harlan,Weeks,1,15,71.13,187.08
Ginger,Frawley,1,51,65.67,163.28
Susann,Imms,1,25,62.98,170.18
Jodi,Hynson,0,42,54.32,164.62
Cole,Enden,0,21,59.44,128.76
Esmaria,Paggitt,0,10,116.85,120.25
Burr,Nozzolii,0,41,89.38,145.82
Cahra,Flello,0,15,125.96,123.64
Willabella,Leijs,1,70,80.82,186.02
Charleen,Ziem,1,27,122.87,172.4
Amalita,Eayrs,1,16,83.73,122.98
Aretha,Ladd,1,10,54.42,181.29
Hatty,Levick,1,17,59.95,142.39
Jamie,Redborn,0,29,74.08,155.18
Case,Sprake,0,78,75.15,194.85
Lanna,Hughlock,1,18,50.8,175.11
Perri,De la Perrelle,0,64,126.51,197.05
Francine,Tofful,1,55,65.81,140.74
Tyrone,Stanners,1,27,60.61,190.41
Ardith,Kindred,1,77,74.3,184.37
Margarethe,Forstall,1,17,64.39,189.61
Emilee,Eeles,1,77,122.75,155.88
Town,Fend,0,33,84.06,152.07
Lindon,Varvell,0,56,72.19,143.88
Sosanna,MacGille,0,43,91.22,140.56
Alexi,Last,1,22,110.89,124.87
Tadeas,Oakwood,1,14,128.3,134.9
Belicia,Arnaudet,1,27,83.83,155.62
Osmund,MacNess,1,55,70.55,144.96
Conny,Adamthwaite,0,75,103.05,150.33
Amabelle,Ruppertz,1,19,52.45,178.34
Tonye,Rosencwaig,1,76,105.11,135.25
Charmine,Trevaskus,0,34,72.92,146.23
Morgen,Alu,1,17,119.98,162.93
Garret,Twelves,1,14,103.26,143.13
Mayer,Batte,1,63,103.49,176.06
Nonah,Myerscough,0,30,120.04,135.92
Jackson,Omar,0,84,94.41,148.99
Lonna,Girardot,0,66,107.93,134.97
Tadio,Aingell,1,56,71.15,199.36
Noami,Gallandre,0,60,110.98,162.46
Wang,Gehringer,0,35,128.65,157.49
Helene,Manderson,0,40,56.5,159.62
Sholom,Seefus,0,80,59.2,153.99
Codie,Brogden,1,60,79.26,125.87
Christos,Heggadon,0,57,77.59,128.58
Sharlene,MacRorie,1,54,96.79,133.43
Flori,Burdin,0,83,128.55,185.85
Lona,Buyers,1,33,105.31,124.59
Reilly,Kilian,0,72,83.46,120.16
Page,Letrange,1,46,102.61,137.73
Hyacintha,Heddy,0,50,61.49,187.16
Fidela,Beecraft,1,29,101.34,192.35
Llywellyn,Streeter,0,41,119.61,183.16
Ariana,Talman,1,39,83.05,181.19
Horten,Bottleson,1,11,70.76,198.16
Chancey,Faust,1,70,117.28,131.21
Tomi,Gohier,1,78,63.73,146.45
Lea,Gowanlock,1,44,128.59,143.77
Aldin,Pastor,0,75,70.52,193.42
Chilton,Ponceford,1,38,129.46,158.24
Karena,Thonason,1,16,128.25,175.27
Randy,Swains,1,25,109.67,129.82
Deerdre,Vaney,0,78,123.79,125.55
Kinnie,Harrismith,1,29,81.58,179.7
Oralia,Minchinton,0,17,98.48,122.37
Wynne,Gurwood,1,61,87.32,182.52
Verne,Hamber,1,39,104.42,184.68
Kendra,Mugridge,0,45,56.06,151.29
Torey,Jarrold,1,61,73.88,150.79
Rica,Cathcart,1,15,110.16,166.37
Dennis,Aimer,0,58,129.87,141.79
Max,Beelby,0,13,60.37,158.66
Jeanine,Paolazzi,1,25,120.88,136.36
Merci,Miles,1,64,85.61,166.2
Nilson,Yeats,1,68,65.69,171.12
Sela,Bridgland,1,44,129.05,160.45
Cliff,Varah,1,14,102.83,141.61
Michaelina,Crudge,0,18,84.32,155.87
Anissa,Chieco,1,59,79.56,142.94
Corny,Eversley,0,45,128.19,130.52
Chuck,Crommett,0,18,54.11,149.46
Dag,Roscoe,0,83,72.47,160.24
Joellen,Kornyakov,0,70,58.82,168.51
Magdalene,McCrum,1,58,84.47,126.11
Debee,Owttrim,0,57,72.04,131.95
Lindy,Realff,1,72,127.18,179.6
Mozelle,Petrosian,1,34,50.88,133.47
Chelsae,Pirkis,0,58,86.67,142.29
Adrian,Grimbleby,0,58,66.73,174.3
Lauren,Lewson,0,65,100.02,136.89
Sharron,Coldrick,0,36,110.78,197.03
Rheba,Aucourte,1,17,110.94,165.54
Don,Wick,1,59,55.29,170.95
Wilhelmine,Wadsworth,0,70,86.54,178.07
Sinclair,Gipp,0,50,50.9,137.88
Cherie,Abbe,0,16,63.98,128.82
Gawen,Layus,1,23,53.25,181.9
Thibaut,Landy,1,66,119.42,139.2
Maressa,Spring,1,48,126.84,131.1
Addia,Cranney,0,31,74.66,172.97
Guthrie,Giriardelli,0,38,62.5,177.76
Ernaline,McPhillimey,1,26,51.42,150.8
Nan,Masseo,0,74,54.93,167.52
Boonie,Ronci,1,42,60.05,167.32
Catarina,Maxweell,1,85,55.16,120.98
Garner,Espin,0,81,120.29,195.11
Sarge,Rochewell,0,69,67.86,155.85
Dante,O'Hannay,1,35,61.12,144.0
Mallissa,Wilstead,1,74,109.28,147.87
Lenna,Medlar,1,58,88.3,196.5
Cassandry,Doel,0,39,111.29,168.56
Rycca,Springthorpe,0,49,127.34,171.31
Marcos,Hebbard,1,58,81.43,199.89
Gaby,Winfred,1,12,103.89,164.12
Urbain,Cornford,1,45,83.34,195.45
Irwin,Shreeve,1,20,59.44,184.11
Kennedy,Spatig,1,70,80.87,153.67
Madelon,Freen,0,63,69.81,125.62
Gerianna,Logie,0,16,68.26,181.68
August,Guilloneau,0,53,88.3,177.91
Cherry,Wike,1,48,84.23,194.12
Manolo,Petrozzi,1,16,72.9,159.42
Gale,Hulstrom,0,12,110.02,183.6
Conan,Hefford,1,50,91.07,192.75
Saxe,Brace,1,68,116.34,142.96
Kati,Droghan,1,29,111.75,133.48
Laird,Cowthard,0,68,125.9,196.89
Yankee,McClenan,0,54,124.67,157.01
Fianna,Funnell,1,42,62.71,122.98
Elise,Rainy,1,33,114.54,192.7
Rolando,Mably,1,37,101.64,135.18
Leonhard,Askell,0,42,55.64,176.6
Ax,Gonoude,0,21,121.73,144.55
Upton,Imm,1,29,124.89,120.41
Rodd,Shemmans,1,15,111.73,172.45
Edeline,Dominick,0,72,108.69,121.06
Loni,Nesby,1,53,69.42,149.65
Mickie,Boolsen,0,45,83.84,179.01
Florinda,Elmar,0,44,113.56,121.98
Bryana,Belhomme,1,40,123.49,129.6
Gisella,Brotherick,1,16,75.98,196.14
Geneva,Ciccottini,1,41,79.98,171.33
Dru,Linneman,1,62,106.43,158.01
Carmine,Swain,0,56,70.39,143.68
Bartie,Devenport,1,65,111.82,145.6
Patsy,Grono,0,20,124.54,187.76
Emlyn,Petrichat,1,21,111.85,187.77
Melicent,Spurway,1,82,81.24,159.12
Carrie,Rolfo,0,78,122.53,144.42
Fionnula,Sugars,0,80,58.22,146.23
Candace,Brundall,1,16,66.35,125.49
Hy,Dubose,1,63,70.28,132.81
Odey,Belin,1,40,75.62,132.92
Bartolemo,Dmitrichenko,1,47,83.27,184.62
Simone,Vannah,0,62,56.46,136.95
Clifford,Huskinson,1,59,127.37,159.57
Paxton,Batte,1,40,71.46,120.98
Umeko,Cardenas,0,11,97.42,174.32
Marylou,Woodyatt,1,10,81.45,144.09
Solomon,Swindell,0,66,80.36,138.2
Dionisio,Cicerone,0,47,125.19,184.95
Cheryl,Signore,0,80,119.08,187.38
Dianna,Torbet,0,84,88.95,150.83
Cordelie,Morby,1,54,112.25,191.26
Vivia,Zoane,1,24,92.75,121.12
Karlyn,Wyburn,1,84,65.92,170.45
Ailina,Stegell,0,67,78.95,161.65
Martie,Starzaker,0,45,98.23,168.05
Nikolaus,Dickon,1,75,76.78,173.15
Nyssa,O'Corren,1,14,119.92,148.43
Hetti,McGettigan,1,26,52.42,153.49
Ashly,Guymer,1,52,118.33,167.48
Davina,Milbourn,0,42,80.09,166.56
Anselm,Vassel,0,77,76.14,168.27
Cesaro,O'Corrigane,1,44,97.22,128.17
Pooh,McTrustrie,1,70,109.01,150.94
Cecil,Hucks,1,10,53.63,124.34
Torrin,De Hailes,0,11,111.1,163.02
Kim,Jackson,1,66,71.17,195.86
Suzanna,Heilds,1,33,98.96,162.53
Xerxes,Jumonet,1,73,124.89,182.0
Dennet,Bodle,1,30,51.04,188.78
Mildred,Frantzen,0,34,91.28,198.33
Thaddeus,Landy,1,48,109.09,178.78
Margarete,Clayal,0,75,128.87,178.79
Claudian,Reynoldson,0,82,51.45,174.04
Vonny,Leber,1,72,128.54,121.52
Karia,Snowling,0,31,66.0,156.09
Lavinia,Kilcoyne,0,59,122.15,178.44
Corrie,Avrahm,0,67,99.47,182.18
Bernete,Sach,1,37,87.93,169.97
Megen,Phillp,1,46,128.08,152.61
Francoise,Frankcom,1,39,94.31,141.69
Carlina,Pie,1,13,56.89,192.46
Jaynell,Torfin,0,56,97.13,122.09
Dede,Puzey,0,80,69.45,125.8
Blondie,Karolewski,0,77,100.44,187.63
Carce,Manifould,0,67,119.96,145.31
Mareah,Kubczak,1,83,92.36,132.92
Dennison,Mesias,1,59,119.67,176.9
Codee,Swyre,1,43,89.44,184.64
Cecily,Poulter,1,49,77.12,190.59
Odette,McEniry,1,39,76.64,145.07
Rasla,Daspar,1,37,115.69,168.4
Royall,Kumaar,0,38,119.73,181.7
Wilt,Findon,1,82,68.51,128.52
Zelig,MacNamee,0,71,101.67,121.85
Pammy,Sail,0,85,54.62,185.87
Tova,Beart,1,82,99.58,130.89
Cchaddie,Ockwell,1,82,112.03,126.55
Pammie,Rayhill,1,43,60.99,195.39
Russ,Maylour,0,30,99.37,187.23
Grannie,Ratt,0,19,112.62,141.43
Julienne,Egiloff,0,25,122.41,126.08
Fanya,Caw,1,10,107.74,147.14
Sonya,Marishenko,0,55,129.39,168.86
Marna,Spoward,1,64,68.65,123.09
Launce,Whitloe,0,61,87.74,157.04
Angelique,Stanex,0,58,61.64,125.01
Luce,Aymerich,1,66,71.71,195.47
Forrester,Gowing,0,53,101.68,188.38
Bendix,Abbatt,0,47,120.01,124.84
Meridel,Chstney,0,30,64.59,120.02
Paige,Chedgey,0,45,70.76,148.88
Sarette,Josowitz,1,71,121.76,152.6
Leo,Pendlenton,0,56,66.02,187.7
Lenna,Youngman,1,17,67.2,121.43
Hector,Scoggins,1,21,52.92,140.89
Selena,Rontree,1,48,65.39,198.0
Tate,Clowney,1,70,69.54,155.7
Cordie,Whitebrook,1,48,125.16,163.93
Jo-anne,Boddymead,1,44,78.87,141.0
Jedd,Arndell,1,30,58.93,146.63
Atalanta,Dean,1,36,125.76,190.25
Jacynth,Trowill,0,35,73.2,191.15
Alma,Walkowski,0,57,115.65,194.82
Alikee,Dutt,0,61,61.65,195.73
Oliy,Kirvin,1,38,128.81,198.09
Jaquelin,Englefield,0,25,66.02,121.56
Conney,Gloucester,1,45,78.38,170.79
Penn,Syvret,1,30,128.66,130.62
Kristi,Buckoke,0,56,76.24,169.06
Nikki,McRill,1,80,51.32,190.64
Deanna,Lardeux,1,22,70.58,139.38
Axel,Longlands,1,57,72.9,156.68
Ermina,Oxborough,0,52,50.33,174.76
Stearne,Tackley,1,27,63.34,196.62
Adella,Dansie,1,61,84.84,126.09
Godfrey,Nowlan,1,62,61.16,129.64
Aluino,Hunnable,1,61,71.24,171.49
Georgianna,Sherrell,0,30,126.77,152.3
Gwenette,Oxtiby,1,56,96.89,151.19
Barbabas,Climer,0,77,108.38,142.82
Belita,Lintall,1,10,129.5,196.38
Maddie,Ritchard,0,73,91.0,195.06
Carley,Hawke,0,67,101.95,163.6
Sibby,Dady,0,61,78.04,165.8
Annabelle,Rozenzweig,1,46,95.06,170.6
Marena,Matthewes,0,78,88.53,136.97
Vic,Spellacy,0,66,78.53,157.36
